,name,price,location
59,2017 Toyota CALYA G 1.2,108.000.000,"Carsome Pondok Indah, Jakarta Selatan"
60,2018 Honda JAZZ RS 1.5,249.500.000,"Carsome Pondok Indah, Jakarta Selatan"
61,2014 Toyota FORTUNER G TRD 2.5,303.000.000,"Carsome Pondok Indah, Jakarta Selatan"
62,2017 Toyota CALYA E 1.2,107.000.000,"Carsome Pondok Indah, Jakarta Selatan"
63,2018 Toyota VOXY  2.0,408.000.000,"Carsome Pondok Indah, Jakarta Selatan"
64,2018 Toyota RUSH S TRD 1.5,230.000.000,"Carsome Pondok Indah, Jakarta Selatan"
65,2017 Suzuki BALENO HATCHBACK 1.4,170.500.000,"Carsome Alam Sutera, Jakarta Selatan"
66,2017 Mitsubishi XPANDER SPORT 1.5,208.000.000,"Carsome Pondok Indah, Jakarta Selatan"
67,2018 Honda CIVIC TURBO E 1.5,393.000.000,"Carsome Pondok Indah, Jakarta Selatan"
68,2018 Suzuki ERTIGA GL 1.4,170.000.000,"Carsome Alam Sutera, Jakarta Selatan"
69,2017 Suzuki BALENO HATCHBACK 1.4,174.000.000,"Carsome Pondok Indah, Jakarta Selatan"
70,2018 Honda JAZZ RS 1.5,245.000.000,"Carsome Pondok Indah, Jakarta Selatan"
71,2018 Toyota VOXY  2.0,423.000.000,"Carsome Pondok Indah, Jakarta Selatan"
72,2019 Suzuki BALENO HATCHBACK 1.4,195.000.000,"Carsome Pondok Indah, Jakarta Selatan"
73,2016 Toyota FORTUNER VRZ 2.4,385.000.000,"Carsome Pondok Indah, Jakarta Selatan"
74,2020 Honda HR-V E 1.5,310.000.000,"Carsome Pondok Indah, Jakarta Selatan"
75,2020 Mitsubishi XPANDER ULTIMATE 1.5,245.000.000,"Carsome Pondok Indah, Jakarta Selatan"
76,2016 Daihatsu SIGRA R DLX 1.2,112.000.000,"Carsome Pondok Indah, Jakarta Selatan"
77,2018 Honda JAZZ RS 1.5,249.000.000,"Carsome Pondok Indah, Jakarta Selatan"
78,2018 Toyota RUSH G 1.5,226.000.000,"Carsome Alam Sutera, Jakarta Selatan"
79,2018 Daihatsu TERIOS R 1.5,201.700.000,"Carsome Alam Sutera, Jakarta Selatan"
